userId,revenue by user,buy_clicks_per_user,distinct_count(adCategory),ad_clicks per_users,,,,,,,,,,
1,21,9,8,44,,,,,,,,,,
10,11,10,7,19,,,,,,,,,,
1000,113,7,8,40,,,,,,,,,,
1001,31,5,9,49,,,,,,,,,,
1005,2,1,7,20,,,,,,,,,,
1011,22,7,7,17,,,,,,,,,,
1015,6,2,1,1,,,,,,,,,,
1016,10,8,9,52,,,,,,,,,,
1017,80,5,9,48,,,,,,,,,,
1019,9,5,8,47,,,,,,,,,,
102,20,2,7,12,,,,,,,,,,
1022,43,15,8,46,,,,,,,,,,
1024,40,2,8,36,,,,,,,,,,
1026,70,5,9,42,,,,,,,,,,
1027,189,15,8,49,,,,,,,,,,
1042,33,5,9,42,,,,,,,,,,
1044,35,3,6,15,,,,,,,,,,
1049,11,5,8,33,,,,,,,,,,
1051,15,2,8,13,,,,,,,,,,
1052,25,4,7,14,,,,,,,,,,
1055,5,3,8,24,,,,,,,,,,
1059,60,9,9,55,,,,,,,,,,
1061,7,3,5,11,,,,,,,,,,
1064,4,4,9,41,,,,,,,,,,
1065,103,6,9,49,,,,,,,,,,
1069,5,4,9,26,,,,,,,,,,
1070,2,2,5,7,,,,,,,,,,
1072,112,12,9,37,,,,,,,,,,
1075,3,1,6,12,,,,,,,,,,
1085,6,5,9,51,,,,,,,,,,
1087,33,7,7,32,,,,,,,,,,
1089,5,4,6,15,,,,,,,,,,
1090,10,2,8,29,,,,,,,,,,
1091,20,6,9,42,,,,,,,,,,
1093,9,3,9,52,,,,,,,,,,
1097,78,6,9,30,,,,,,,,,,
1103,37,11,9,25,,,,,,,,,,
1111,27,8,9,39,,,,,,,,,,
1112,1,1,7,10,,,,,,,,,,
1114,40,3,6,14,,,,,,,,,,
1120,16,6,9,25,,,,,,,,,,
1123,25,2,6,17,,,,,,,,,,
1125,10,4,8,17,,,,,,,,,,
113,7,6,8,41,,,,,,,,,,
1136,35,4,8,22,,,,,,,,,,
1143,43,15,8,41,,,,,,,,,,
1145,34,11,8,45,,,,,,,,,,
1146,17,5,9,31,,,,,,,,,,
1150,3,3,5,8,,,,,,,,,,
1155,65,7,8,51,,,,,,,,,,
1157,13,5,8,36,,,,,,,,,,
1159,13,2,6,10,,,,,,,,,,
1161,30,8,8,22,,,,,,,,,,
1162,53,13,8,38,,,,,,,,,,
1163,33,11,9,40,,,,,,,,,,
1167,50,3,3,6,,,,,,,,,,
1190,130,8,8,23,,,,,,,,,,
12,215,13,8,46,,,,,,,,,,
1201,55,4,9,32,,,,,,,,,,
1205,23,8,9,37,,,,,,,,,,
1206,34,5,9,48,,,,,,,,,,
121,29,11,8,43,,,,,,,,,,
1210,37,6,8,24,,,,,,,,,,
1214,8,8,9,56,,,,,,,,,,
1226,13,4,9,27,,,,,,,,,,
1228,3,1,5,7,,,,,,,,,,
1234,53,10,8,41,,,,,,,,,,
1235,40,2,6,11,,,,,,,,,,59
1241,107,7,8,8,,,,,,,,,,70
1249,14,7,8,40,,,,,,,,,,83
1254,29,6,9,47,,,,,,,,,,
1257,10,1,6,16,,,,,,,,,,
1260,183,14,4,4,,,,,,,,,,
1262,6,4,9,30,,,,,,,,,,
1264,15,10,6,18,,,,,,,,,,
127,158,12,7,39,,,,,,,,,,
1270,80,6,8,41,,,,,,,,,,
1273,17,7,8,44,,,,,,,,,,
1277,37,9,8,19,,,,,,,,,,
1279,36,6,9,39,,,,,,,,,,
1294,39,11,6,20,,,,,,,,,,
1297,25,2,6,8,,,,,,,,,,
13,20,6,7,16,,,,,,,,,,
1300,49,16,9,48,,,,,,,,,,
1303,5,1,2,3,,,,,,,,,,
1304,33,3,8,44,,,,,,,,,,
1307,15,10,8,54,,,,,,,,,,
1308,1,1,6,11,,,,,,,,,,
1310,1,1,8,10,,,,,,,,,,
1315,35,12,9,38,,,,,,,,,,
1318,65,5,9,51,,,,,,,,,,
1320,55,5,9,40,,,,,,,,,,
1321,63,4,6,16,,,,,,,,,,
1329,21,7,8,32,,,,,,,,,,
1333,80,5,9,20,,,,,,,,,,
1336,45,3,7,17,,,,,,,,,,
1337,7,4,7,25,,,,,,,,,,
1338,50,3,6,15,,,,,,,,,,
134,8,3,7,20,,,,,,,,,,
1360,162,12,8,42,,,,,,,,,,
1362,42,5,9,42,,,,,,,,,,
1367,11,6,9,42,,,,,,,,,,
1369,30,3,7,19,,,,,,,,,,
1370,90,8,8,42,,,,,,,,,,
1371,2,1,2,4,,,,,,,,,,
1373,11,4,8,26,,,,,,,,,,
1379,22,2,5,15,,,,,,,,,,
1382,1,1,7,9,,,,,,,,,,
1384,25,9,9,34,,,,,,,,,,
1387,2,1,7,16,,,,,,,,,,
1393,16,7,8,38,,,,,,,,,,
1397,2,1,4,6,,,,,,,,,,
1399,4,2,3,3,,,,,,,,,,
1402,28,5,8,20,,,,,,,,,,
1403,120,7,8,31,,,,,,,,,,
1404,32,9,9,56,,,,,,,,,,
1422,50,9,8,23,,,,,,,,,,
143,31,9,9,35,,,,,,,,,,
1434,9,3,9,26,,,,,,,,,,
1436,16,5,9,39,,,,,,,,,,
1444,67,5,8,14,,,,,,,,,,
1445,15,2,8,24,,,,,,,,,,
1450,13,5,9,31,,,,,,,,,,
1451,4,2,8,11,,,,,,,,,,
1457,13,10,8,34,,,,,,,,,,
